name,line
"                         W'KABI
","         taking him out.
"
"                         T'CHALLA
","         In a moment of desperation , the Young Militant rushes out ,
"
"                         (BEAT)
","         firing at Panther to no effect. Then , as Panther walks
"
"         EXT/INT. MT. BASHENGA, TOP OF THE HILL - DAY
","         towards him, Nakia dives out , kicking the young militant's
"
"                        A DRAGONFLYER
","         gun from his hand and grabs him in a neck-lock.
"
"                         DESIGN GROUP
","         Swinging around , Nakia kicks Panther in the chest, stopping
"
"         INT. WAKANDAN
","         his momentum. Caught off guard, Panther freezes .
"
"          DESIGN GROUP HALLWAY,MT. BASHENGA DAY
","          This one is just a boy . .. he got
"
"          SHUR!
","          kidnapped as well.
"
"                         (MOCKING)
","         Nakia pulls the wrap from the young militant's face , exposing
"
"                         T'CHALLA
","         his pre-teen expression. She removes her own hijab as well.
"
"         INT. SHURI'S LAB, WAKANDAN
","         Panther stares at her- for a beat too long ...
"
"          DESIGN GROUP - MOMENTS
","          Nakia . . . I . . . I wanted to ...
"
"                         LATER
","          Hey! 1 !
"
"          SHUR!
","          and Nakia turn to a
"
"                         (BEAT)
","         Panther find NIGERIAN MILITANT #2 holding
"
"                         T'CHALLA
","          at gunpoint.
"
"                         SHURI
","          11.
"
"                         T'CHALLA
","
"
"                         (BEAT)
","                         '
"
"                         SHURI
","          I have her ! Don't move, I will
"
"                         SHURI (CONT'D)
","          shoot ! I will shoot her right now !
"
"                         T'CHALLA
","         Behind the militant , an UNSEEN FIGURE creeps out of the bush .
"
"                         SHURI
","         The figure stands , revealing herself to be OKOYE .
"
"                         T'CHALLA
","         The militant ' s rifle is SUDDE LY CUT IN HALF by Okoye who
"
"                         SHURI
","         finishes him with another swipe of her spear .
"
"                         SHURI (CONT'D)
","          You froze .
"
"                         T'CHALLA
","         T'Challa removes his helmet , facing Nakia.
"
"                         SHURI
","          Why are you here? Eesh, you ruined
"
"                         SHURI (CONT'D)
","          my mission !
"
"                         SHURI (CONT'D)
","          My father is dead , Nakia.
"
"         NECKLACE .
","         The news devastates her .
"
"                         SHURI (CONT'D)
","                         '
"
"                         SHURI (CONT'D)
","          I will be cro wned King tomorrow ,
"
"                         T'CHALLA
","          and I wish for you to be there .
"
"                         T'CHALLA (CONT'D)
","         Nakia looks at T'Challa deeply . Then turns , catching eyes
"
"          SHUR!
","         with one of the NIGERIAN CAPTIVES as Okoye brings them from
"
"          SHUR! (CONT'D)
","         aro u nd the truck .
"
"                         T'CHALLA
","          Carry yourselves home now , and take
"
"          SHUR!
","          the boy . Get him to his people .
"
"          SHUR! (CONT'D)
","         The Nigerian Woman nods .
"
"                         T'CHALLA
","          Thank you .
"
"          SHUR!
","          You will speak nothing of this day .
"
"          SHUR! (CONT'D)
","         T 'Challa loo k s at the Young Militant for a beat before he ,
"
"                         T'CHALLA
","         Nakia and Okoye disappear through the trees .
"
"          SHUR!
","         The Nigerian Women and the Young Militant look up at the sky
"
"                         T'CHALLA
","         as the RTF takes off .
"
"                         T'CHALLA (CONT'D)
","          12 .
"
"                         SHURI
","
"
"                         T'CHALLA
","
"
"                         SHURI
","
"
"                         T'CHALLA
","         The RTF comes out of stealth mode and becomes visible as it
"
"          SHUR!
","         glides over a mountain range .
"
"                         LE
","
"
"                         T'CHALLA
","         T'Challa and Nakia sit close , silently . Nakia reaches out and
"
"         EXT. BUSANCITY SKYLINE - NIGHT
","         touches his hand. He looks at her and smiles .
"
"         EXT. JAGALCHI FISH MARKET NIGHT
","          Sister Nakia ... My Prince. We are
"
"          NA.KIA
","          home .
"
"                         OKOYE
","         Nakia approaches the front of the craft with T ' Challa. They
"
"          NA.KIA
","         loo k out .
"
"                         OKOYE
","
"
"          NA.KIA (SUBTITLE)
","         Several BORDERTRIBE SHEPHERDSlook over their flocks of
"
"                         (IN KOREAN)
","         sheep and cattle .
"
"                         ELDERLYWOMAN(SUBTITLE)
","         As the RTF's shadow passes over the STRAWTHATCHED HUTS,
"
"                         (IN KOREAN)
","         SEVERALCHILDRENrun out into the pastures , smiling and
"
"          NA.KIA (SUBTITLE)
","         waving at the Prince .
"
"                         (IN KOREAN)
","         TWOBORDERTRIBE KIDS (one boy, one girl) on horseback
"
"                         ELDERLYWOMAN (SUBTITLE)
","         overtake them . Their horses hurdle ahead at a breakneck pace.
"
"                         (IN KOREAN)
","          air as the RTF soars
"
"          NA.KIA (SUBTITLE)
","         The horse riders pump their fists in the
"
"                         (IN KOREAN)
","         over a second mountain range .
"
"         INT. ANTEROOM NIGHT
","          This never gets old .
"
"         INT. UNDERGROUND
","
"
"          CASINO BALCONY NIGHT
","         Nakia , T'Challa and Okoye regard a BEAUTIFULRAINFORESTthat
"
"                         T' CHALLA
","         expands for as far as the eye can see .
"
"                         T'CHALLA (CONT'D)
","         Okoye dives the pl ane seemingly right into THE TREES. . . when
"
"                         NAKIA
","         at the last moment it passes through , revealing the forest is
"
"                         T' CHALLA
","         a massive hologram and below .. .
"
"                         NAKIA
","
"
"          OKOYE(O. S . )
","
"
"                         (INTERRUPTING)
","                         -
"
"                        ON OKOYE
","         A sprawling metropolis with elaborate veins of public
"
"                         OKOYE(CONT'D)
","         transportation running through it at ground level and high
"
"         INT. FIRST FLOOR, BLACKJACKTABLE - NIGHT
","         arching skyscrapers .
"
"                         NAKIA
","          13.
"
"                         (IN KOREAN)
","
"
"                         NAKIA (CONT'D)
","         The RTF heads for the ROYALPALACE, a magnificent building at
"
"          OKOYE(O.S.)
","         the center of the city and touches down on the landing pad.
"
"                         T'CHALLA
","
"
"                         (INTO COMM)
","         RAMONDA (S0s, Queen Mother of Wakanda), and SHUR! (18 ,
"
"                         T'CHALLA (CONT'D)
","         Princess of Wakanda) stand on the pad flanked by AYO .
"
"                         ROSS
","         Okoye , Nakia and T'Challa exit the RTF and Nakia bows her
"
"                         T'CHALLA
","         head .
"
"                         ROSS
","          Queen Mother . . . Princess . My
"
"                         T'CHALLA
","          comfort for your loss.
"
"                         ROSS
","          Thank you , Nakia. It is so good to
"
"                         ROSS (CONT'D)
","          have you back with us .
"
"                         T' CHALLA
","         Nakia nods.
"
"                         ROSS
","          Take her to the River Province to
"
"                         THIRSTY GAMBLER
","          prepare her for the ceremony .
"
"                         ROSS
","          Yes, general .
"
"                         (INTO COMM)
","         Ayo nods and walks off with Nakia while Shuri watches
"
"                         ROSS (CONT'D)
","         closely .
"
"                         T'CHALLA
","          Did he freeze?
"
"         EXT. JAGALCHI FISH MARKET NIGHT
","          Like an antelope in headlights.
"
"         INT. ANTEROOM NIGHT
","         Shuri laughs at this .
"
"         INT. UNDERGROUND
","          Are you finished?
"
"          CASINO BALCONY NIGHT
","         Okoye slams her spear into the ground , signaling the rest of
"
