name,line
"                         (MOCKING)
","         with IMMENSECONCUSSIVEFORCE, causing both TRUCKSTO CRASH
"
"                         T'CHALLA
","         and FLIP down the bridge.
"
"         INT. SHURI'S LAB, WAKANDAN
","
"
"          DESIGN GROUP - MOMENTS
","         Shuri swerves the Lexus, skillfully catching Panther on the
"
"                         LATER
","         roof again as ...
"
"          SHUR!
","          You show off.
"
"                         (BEAT)
","
"
"                         T'CHALLA
","
"
"                         SHURI
","         Nakia's Lexus sedan trails Klaue's 4Runner . · . both going
"
"                         T'CHALLA
","         airborne over hilltops.
"
"                         (BEAT)
","
"
"                         SHURI
","          There he is ! Hold tight !
"
"                         SHURI (CONT'D)
","
"
"                         T'CHALLA
","         As the SUV catches air over a rise in the road , Klaue slides
"
"                         SHURI
","         his body out of the truck .
"
"                         T'CHALLA
","          54 .
"
"                         SHURI
","
"
"                         SHURI (CONT'D)
","
"
"                         T'CHALLA
","          Right, let's have some fun .
"
"                         SHURI
","         Sitting on the windowsill, Klaue aims his SONIC DISRUPTER.
"
"                         SHURI (CONT'D)
","
"
"                         SHURI (CONT'D)
","         Nakia is locked in and Okoye prepares to throw her SPEAR
"
"         NECKLACE .
","         again but they suddenly LOSE SIGHT of Klaue as the Lexus hits
"
"                         SHURI (CONT'D)
","         the rise .
"
"                         SHURI (CONT'D)
","
"
"                         T'CHALLA
","
"
"                         T'CHALLA (CONT'D)
","         Ahead, Klaue's 4Runner launches off a second, STEEPER RISE .
"
"          SHUR!
","
"
"          SHUR! (CONT'D)
","         Nakia loses sight of Klaue again as ...
"
"                         T'CHALLA
","
"
"          SHUR!
","         The SUV LANDSHARDon the downside of the hill . Klaue , still
"
"          SHUR! (CONT'D)
","         at speed , steadies his disrupter and as NAKIA'S LEXUS appears
"
"                         T'CHALLA
","         in MID-AIR over the rise, he FIRES .
"
"          SHUR!
","
"
"          SHUR! (CONT'D)
","         Klaue'sSONIC SHOT hits the Lexus sedan head on and
"
"                         T'CHALLA
","          IT, piece by piece to its studs . . . SENDINGNAKIA
"
"          SHUR!
","         As she twists through the air , her feet remain planted on a
"
"                         T'CHALLA
","         shredded piece of the cars' roof. She l ands on her feet,
"
"                         T'CHALLA (CONT'D)
","         speed-skating to a stop .
"
"                         SHURI
","         Nakia skids up next to Okoye on the driver's seat , still
"
"                         T'CHALLA
","         buckled in .
"
"                         SHURI
","
"
"                         T'CHALLA
","
"
"          SHUR!
","         Ross pulls up in a SUBURBAN
"
"                         LE
","          and stops in front of Nakia and
"
"                         T'CHALLA
","         Okoye .
"
"         EXT. BUSANCITY SKYLINE - NIGHT
","          55 .
"
"         EXT. JAGALCHI FISH MARKET NIGHT
","
"
"          NA.KIA
","
"
"                         OKOYE
","          Hop in . Put that spear in the
"
"          NA.KIA
","          trunk .
"
"                         OKOYE
","
"
"          NA.KIA (SUBTITLE)
","
"
"                         (IN KOREAN)
","          Faster , Shuri .
"
"                         ELDERLYWOMAN(SUBTITLE)
","
"
"                         (IN KOREAN)
","
"
"          NA.KIA (SUBTITLE)
","         Tracking Kla ue ' s SUV Shuri
"
"                         (IN KOREAN)
","          , drives in the sand cockpit .
"
"                         ELDERLYWOMAN (SUBTITLE)
","          I ' m going as fast as I can !
"
"                         (IN KOREAN)
","
"
"          NA.KIA (SUBTITLE)
","         We see KLAUES 4RUNNERracing across the Centum City
"
"                         (IN KOREAN)
","                         '
"
"         INT. ANTEROOM NIGHT
","         Bridge ... the Diamond Bridge can be seen in the background .
"
"         INT. UNDERGROUND
","
"
"          CASINO BALCONY NIGHT
","
"
"                         T' CHALLA
","          ,
"
"                         T'CHALLA (CONT'D)
","         Klaue is back inside the SUV as it WEAVES through traffic.
"
"                         NAKIA
","         Then , we spot a rapidly closing LEXUS LC WITH PANTHERon the
"
"                         T' CHALLA
","         roof.
"
"                         NAKIA
","
"
"          OKOYE(O. S . )
","          , ,
"
"                         (INTERRUPTING)
","
"
"                        ON OKOYE
","         Klaue turns to his driver .
"
"                         OKOYE(CONT'D)
","          Take a right , take a right !
"
"         INT. FIRST FLOOR, BLACKJACKTABLE - NIGHT
","
"
"                         NAKIA
","
"
"                         (IN KOREAN)
","          ,
"
"                         NAKIA (CONT'D)
","         Klaue ' s 4Runner and Panther's LC make left turns, booking
"
"          OKOYE(O.S.)
","         down a short road , then make quick rights.
"
"                         T'CHALLA
","
"
"                         (INTO COMM)
","
"
"                         T'CHALLA (CONT'D)
","         The 4Runner barrels along a brightly lit TWOLANE ROADwith
"
"                         ROSS
","         the Lexus LC chasing .
"
"                         T'CHALLA
","          56 .
"
"                         ROSS
","
"
"                         T'CHALLA
","
"
"                         ROSS
","         Unnerved seeing Panther closing in , Klaue slides his body
"
"                         ROSS (CONT'D)
","         back out to the SUV's windowsill as his driver makes a sharp
"
"                         T' CHALLA
","         right onto a WIDER AVE NUE.
"
"                         ROSS
","
"
"                         THIRSTY GAMBLER
","         Determined , Shuri rounds the turn , focused . The DIGITAL DASH
"
"                         ROSS
","         shows 115 mph and climbing .
"
"                         (INTO COMM)
","         But , hanging out of the truck , Kla ue fires a MASSIVE SONIC
"
"                         ROSS (CONT'D)
","         BLAST that Shuri can't evade .
"
"                         T'CHALLA
","          No no no no no no no !!
"
"         EXT. JAGALCHI FISH MARKET NIGHT
","         And ... HIT . .. t he LEX LC SUDDENLY
"
"         INT. ANTEROOM NIGHT
","          US GOES TO PI ECES.. . whole
"
"         INT. UNDERGROUND
","         parts and panelling to a million fragments.
"
"          CASINO BALCONY NIGHT
","
"
"         ON ROSS AND T'CHALLA
","         Shuri ' s driver seat EXPLODESINTO A TRILLION GRAINS OF SAND
"
"          NAKIA (O. S . )
","         and she hits the floor.
"
"                         T' CHALLA
","          Brother !
"
"          OKOYE(O. S . )
","
"
"                         T'CHALLA
","
"
"                        ON NAKIA
","         But PANTHER launches
"
"                         NAKIA
","          ... himself out of the DISASSEMBLINGCAR
"
"                        ON OKOYE
","         to ward a BUILDING and in fo ur strides a l ong the side of the
"
"                         OKOYE
","         structure, he LEAPS OFF at KLAUES 4RUNNER
"
"          NAKIA (O. S . )
","          ' .
"
"                         OKOYE
","
"
"                        ON KLAUE
","         Klaue's driver spots PANTHERFLYING AT THEMand tries to
"
"         I NT. FIRST FLOOR CRAPS TABLE - NIGHT
","         swerve , but Panther LATCHESto the side of the SUV and DIGS
"
"                         ROSS
","         IN with his claws .
"
"                         KLAUE
","         Panther GRABSTHE RIM of the front tire and STOPS THE WHEEL
"
"                         KLAUE (CONT'D)
","         dead in its tracks !
"
"                         KLAUE (CONT'D)
","         The lug nuts SHEAR OFF from the force and Panther discards
"
"                         ROSS
","         the tire, causing the truck's nose to CRASHDOWN, skidding
"
"                         KLAUE
","         across the street with SPARKS FLYING.
"
"                         KLAUE (CONT'D)
","         Panther ROLLS clear as the 4RUNNERHITS the curb , FLIPS OVER
"
"          NAKIA (O. S . )
","         to its roof and SLIDES TO A STOP in the middle of a busy
"
"                         KLAUE
","         outdoor cafe as its PATRONSscramble .
"
"                         ROSS
","          57 .
"
"                        ON NAKIA
","
"
"                         NAKIA
","
"
"                        ON T'CHALLA
","
"
"                         T'CHALLA
","         With the SUV upside-down and customers looking on, Panther
"
"         BACKIN THE PIT
","         approaches to find Klaue struggling to climb out of his
"
"                         ROSS
","         window .
"
"                         KLAUE
","         Klaue slowly gets to his feet and tries to level his
"
"                        ON NAKIA
","         disrupter but running up , Panther evades the BLAST and is
"
"                         NAKIA
","         only nic ked on the shoulder .
"
"                        ON OKOYE
","         Panther grabs Klaue's arm , CLAWINGinto the sonic disrupter
"
"                         OKOYE
","         and COMPLETELY PULLS IT OFF.
"
"                         (IN XHOSA)
","          Did you think we would forget !?
"
"          STAND DOWN!
","         Klaue laughs .
"
"                        ON OKOYE
","          Look at me murderer ! Where did you
"
"                         SOUTHAFRICAN TOUGH
","          get this weapon?
"
"          SOUTHAFRICAN TOUGH(CONT'D)
","          You savages didn ' t deserve it .
"
"                         OKOYE
","         T'Challa grabs him by the throat and slams him into the SUV.
"
"                         (INTO COMMS)
","                         '
"
"                         (IN XHOSA)
","          Oh, mercy ! King , mercy !
"
"                        DOWNSTAIRS
","         Seething , Panther exposes his claws prepared to strike .
"
